"","Artist","Song","Album","Year","Sales","word","n","duration_ms","popularity","speechiness","danceability","tempo"
"1","2pac","Changes","Greatest Hits",2011,5330000,"come",171,NA,NA,NA,NA,NA
"2","2pac","Changes","Greatest Hits",2011,5330000,"on",894,NA,NA,NA,NA,NA
"3","2pac","Changes","Greatest Hits",2011,5330000,"i",2477,NA,NA,NA,NA,NA
"4","2pac","Changes","Greatest Hits",2011,5330000,"see",367,NA,NA,NA,NA,NA
"5","2pac","Changes","Greatest Hits",2011,5330000,"no",338,NA,NA,NA,NA,NA
"6","2pac","Changes","Greatest Hits",2011,5330000,"changes",6,NA,NA,NA,NA,NA
"7","2pac","Changes","Greatest Hits",2011,5330000,"wake",13,NA,NA,NA,NA,NA
"8","2pac","Changes","Greatest Hits",2011,5330000,"up",633,NA,NA,NA,NA,NA
"9","2pac","Changes","Greatest Hits",2011,5330000,"in",1159,NA,NA,NA,NA,NA
"10","2pac","Changes","Greatest Hits",2011,5330000,"the",3040,NA,NA,NA,NA,NA
"11","2pac","Changes","Greatest Hits",2011,5330000,"morning",8,NA,NA,NA,NA,NA
"12","2pac","Changes","Greatest Hits",2011,5330000,"and",1701,NA,NA,NA,NA,NA
"13","2pac","Changes","Greatest Hits",2011,5330000,"ask",28,NA,NA,NA,NA,NA
"14","2pac","Changes","Greatest Hits",2011,5330000,"myself",16,NA,NA,NA,NA,NA
"15","2pac","Changes","Greatest Hits",2011,5330000,"is",463,NA,NA,NA,NA,NA
"16","2pac","Changes","Greatest Hits",2011,5330000,"life",284,NA,NA,NA,NA,NA
"17","2pac","Changes","Greatest Hits",2011,5330000,"worth",3,NA,NA,NA,NA,NA
"18","2pac","Changes","Greatest Hits",2011,5330000,"living",46,NA,NA,NA,NA,NA
"19","2pac","Changes","Greatest Hits",2011,5330000,"should",27,NA,NA,NA,NA,NA
"20","2pac","Changes","Greatest Hits",2011,5330000,"blast",34,NA,NA,NA,NA,NA
"21","2pac","Changes","Greatest Hits",2011,5330000,"i'm",843,NA,NA,NA,NA,NA
"22","2pac","Changes","Greatest Hits",2011,5330000,"tired",13,NA,NA,NA,NA,NA
"23","2pac","Changes","Greatest Hits",2011,5330000,"of",631,NA,NA,NA,NA,NA
"24","2pac","Changes","Greatest Hits",2011,5330000,"bein",21,NA,NA,NA,NA,NA
"25","2pac","Changes","Greatest Hits",2011,5330000,"poor",10,NA,NA,NA,NA,NA
"26","2pac","Changes","Greatest Hits",2011,5330000,"even",130,NA,NA,NA,NA,NA
"27","2pac","Changes","Greatest Hits",2011,5330000,"worse",15,NA,NA,NA,NA,NA
"28","2pac","Changes","Greatest Hits",2011,5330000,"black",102,NA,NA,NA,NA,NA
"29","2pac","Changes","Greatest Hits",2011,5330000,"my",1471,NA,NA,NA,NA,NA
"30","2pac","Changes","Greatest Hits",2011,5330000,"stomach",7,NA,NA,NA,NA,NA
"31","2pac","Changes","Greatest Hits",2011,5330000,"hurts",10,NA,NA,NA,NA,NA
"32","2pac","Changes","Greatest Hits",2011,5330000,"so",437,NA,NA,NA,NA,NA
"33","2pac","Changes","Greatest Hits",2011,5330000,"lookin",44,NA,NA,NA,NA,NA
"34","2pac","Changes","Greatest Hits",2011,5330000,"for",679,NA,NA,NA,NA,NA
"35","2pac","Changes","Greatest Hits",2011,5330000,"a",2058,NA,NA,NA,NA,NA
"36","2pac","Changes","Greatest Hits",2011,5330000,"purse",3,NA,NA,NA,NA,NA
"37","2pac","Changes","Greatest Hits",2011,5330000,"to",1880,NA,NA,NA,NA,NA
"38","2pac","Changes","Greatest Hits",2011,5330000,"snatch",7,NA,NA,NA,NA,NA
"39","2pac","Changes","Greatest Hits",2011,5330000,"cops",47,NA,NA,NA,NA,NA
"40","2pac","Changes","Greatest Hits",2011,5330000,"give",94,NA,NA,NA,NA,NA
"41","2pac","Changes","Greatest Hits",2011,5330000,"damn",36,NA,NA,NA,NA,NA
"42","2pac","Changes","Greatest Hits",2011,5330000,"about",108,NA,NA,NA,NA,NA
"43","2pac","Changes","Greatest Hits",2011,5330000,"negro",1,NA,NA,NA,NA,NA
"44","2pac","Changes","Greatest Hits",2011,5330000,"pull",34,NA,NA,NA,NA,NA
"45","2pac","Changes","Greatest Hits",2011,5330000,"trigger",14,NA,NA,NA,NA,NA
"46","2pac","Changes","Greatest Hits",2011,5330000,"kill",61,NA,NA,NA,NA,NA
"47","2pac","Changes","Greatest Hits",2011,5330000,"he's",55,NA,NA,NA,NA,NA
"48","2pac","Changes","Greatest Hits",2011,5330000,"hero",3,NA,NA,NA,NA,NA
"49","2pac","Changes","Greatest Hits",2011,5330000,"crack",49,NA,NA,NA,NA,NA
"50","2pac","Changes","Greatest Hits",2011,5330000,"kids",47,NA,NA,NA,NA,NA
"51","2pac","Changes","Greatest Hits",2011,5330000,"who",106,NA,NA,NA,NA,NA
"52","2pac","Changes","Greatest Hits",2011,5330000,"hell",76,NA,NA,NA,NA,NA
"53","2pac","Changes","Greatest Hits",2011,5330000,"cares",6,NA,NA,NA,NA,NA
"54","2pac","Changes","Greatest Hits",2011,5330000,"one",208,NA,NA,NA,NA,NA
"55","2pac","Changes","Greatest Hits",2011,5330000,"less",11,NA,NA,NA,NA,NA
"56","2pac","Changes","Greatest Hits",2011,5330000,"hungry",2,NA,NA,NA,NA,NA
"57","2pac","Changes","Greatest Hits",2011,5330000,"mouth",20,NA,NA,NA,NA,NA
"58","2pac","Changes","Greatest Hits",2011,5330000,"welfare",9,NA,NA,NA,NA,NA
"59","2pac","Changes","Greatest Hits",2011,5330000,"first",56,NA,NA,NA,NA,NA
"60","2pac","Changes","Greatest Hits",2011,5330000,"ship",4,NA,NA,NA,NA,NA
"61","2pac","Changes","Greatest Hits",2011,5330000,"em",230,NA,NA,NA,NA,NA
"62","2pac","Changes","Greatest Hits",2011,5330000,"dope",37,NA,NA,NA,NA,NA
"63","2pac","Changes","Greatest Hits",2011,5330000,"let",198,NA,NA,NA,NA,NA
"64","2pac","Changes","Greatest Hits",2011,5330000,"deal",7,NA,NA,NA,NA,NA
"65","2pac","Changes","Greatest Hits",2011,5330000,"brothers",31,NA,NA,NA,NA,NA
"66","2pac","Changes","Greatest Hits",2011,5330000,"guns",27,NA,NA,NA,NA,NA
"67","2pac","Changes","Greatest Hits",2011,5330000,"step",16,NA,NA,NA,NA,NA
"68","2pac","Changes","Greatest Hits",2011,5330000,"back",227,NA,NA,NA,NA,NA
"69","2pac","Changes","Greatest Hits",2011,5330000,"watch",75,NA,NA,NA,NA,NA
"70","2pac","Changes","Greatest Hits",2011,5330000,"each",13,NA,NA,NA,NA,NA
"71","2pac","Changes","Greatest Hits",2011,5330000,"other",77,NA,NA,NA,NA,NA
"72","2pac","Changes","Greatest Hits",2011,5330000,"it's",426,NA,NA,NA,NA,NA
"73","2pac","Changes","Greatest Hits",2011,5330000,"time",347,NA,NA,NA,NA,NA
"74","2pac","Changes","Greatest Hits",2011,5330000,"fight",19,NA,NA,NA,NA,NA
"75","2pac","Changes","Greatest Hits",2011,5330000,"that's",213,NA,NA,NA,NA,NA
"76","2pac","Changes","Greatest Hits",2011,5330000,"what",280,NA,NA,NA,NA,NA
"77","2pac","Changes","Greatest Hits",2011,5330000,"huey",1,NA,NA,NA,NA,NA
"78","2pac","Changes","Greatest Hits",2011,5330000,"said",33,NA,NA,NA,NA,NA
"79","2pac","Changes","Greatest Hits",2011,5330000,"two",66,NA,NA,NA,NA,NA
"80","2pac","Changes","Greatest Hits",2011,5330000,"shots",16,NA,NA,NA,NA,NA
"81","2pac","Changes","Greatest Hits",2011,5330000,"dark",20,NA,NA,NA,NA,NA
"82","2pac","Changes","Greatest Hits",2011,5330000,"now",429,NA,NA,NA,NA,NA
"83","2pac","Changes","Greatest Hits",2011,5330000,"huey's",1,NA,NA,NA,NA,NA
"84","2pac","Changes","Greatest Hits",2011,5330000,"dead",40,NA,NA,NA,NA,NA
"85","2pac","Changes","Greatest Hits",2011,5330000,"got",509,NA,NA,NA,NA,NA
"86","2pac","Changes","Greatest Hits",2011,5330000,"love",188,NA,NA,NA,NA,NA
"87","2pac","Changes","Greatest Hits",2011,5330000,"brother",32,NA,NA,NA,NA,NA
"88","2pac","Changes","Greatest Hits",2011,5330000,"but",513,NA,NA,NA,NA,NA
"89","2pac","Changes","Greatest Hits",2011,5330000,"we",718,NA,NA,NA,NA,NA
"90","2pac","Changes","Greatest Hits",2011,5330000,"can",344,NA,NA,NA,NA,NA
"91","2pac","Changes","Greatest Hits",2011,5330000,"never",168,NA,NA,NA,NA,NA
"92","2pac","Changes","Greatest Hits",2011,5330000,"go",213,NA,NA,NA,NA,NA
"93","2pac","Changes","Greatest Hits",2011,5330000,"nowhere",4,NA,NA,NA,NA,NA
"94","2pac","Changes","Greatest Hits",2011,5330000,"unless",6,NA,NA,NA,NA,NA
"95","2pac","Changes","Greatest Hits",2011,5330000,"share",2,NA,NA,NA,NA,NA
"96","2pac","Changes","Greatest Hits",2011,5330000,"with",548,NA,NA,NA,NA,NA
"97","2pac","Changes","Greatest Hits",2011,5330000,"gotta",143,NA,NA,NA,NA,NA
"98","2pac","Changes","Greatest Hits",2011,5330000,"start",29,NA,NA,NA,NA,NA
"99","2pac","Changes","Greatest Hits",2011,5330000,"makin",44,NA,NA,NA,NA,NA
"100","2pac","Changes","Greatest Hits",2011,5330000,"learn",22,NA,NA,NA,NA,NA
"101","2pac","Changes","Greatest Hits",2011,5330000,"me",1678,NA,NA,NA,NA,NA
"102","2pac","Changes","Greatest Hits",2011,5330000,"as",289,NA,NA,NA,NA,NA
"103","2pac","Changes","Greatest Hits",2011,5330000,"instead",9,NA,NA,NA,NA,NA
"104","2pac","Changes","Greatest Hits",2011,5330000,"distant",3,NA,NA,NA,NA,NA
"105","2pac","Changes","Greatest Hits",2011,5330000,"strangers",4,NA,NA,NA,NA,NA
"106","2pac","Changes","Greatest Hits",2011,5330000,"how",211,NA,NA,NA,NA,NA
"107","2pac","Changes","Greatest Hits",2011,5330000,"supposed",8,NA,NA,NA,NA,NA
"108","2pac","Changes","Greatest Hits",2011,5330000,"be",574,NA,NA,NA,NA,NA
"109","2pac","Changes","Greatest Hits",2011,5330000,"devil",10,NA,NA,NA,NA,NA
"110","2pac","Changes","Greatest Hits",2011,5330000,"take",154,NA,NA,NA,NA,NA
"111","2pac","Changes","Greatest Hits",2011,5330000,"if",307,NA,NA,NA,NA,NA
"112","2pac","Changes","Greatest Hits",2011,5330000,"close",29,NA,NA,NA,NA,NA
"113","2pac","Changes","Greatest Hits",2011,5330000,"i'd",33,NA,NA,NA,NA,NA
"114","2pac","Changes","Greatest Hits",2011,5330000,"when",392,NA,NA,NA,NA,NA
"115","2pac","Changes","Greatest Hits",2011,5330000,"played",10,NA,NA,NA,NA,NA
"116","2pac","Changes","Greatest Hits",2011,5330000,"things",37,NA,NA,NA,NA,NA
"117","2pac","Changes","Greatest Hits",2011,5330000,"changed",27,NA,NA,NA,NA,NA
"118","2pac","Changes","Greatest Hits",2011,5330000,"way",163,NA,NA,NA,NA,NA
"119","2pac","Changes","Greatest Hits",2011,5330000,"it",889,NA,NA,NA,NA,NA
"120","2pac","Changes","Greatest Hits",2011,5330000,"just",250,NA,NA,NA,NA,NA
"121","2pac","Changes","Greatest Hits",2011,5330000,"will",115,NA,NA,NA,NA,NA
"122","2pac","Changes","Greatest Hits",2011,5330000,"same",58,NA,NA,NA,NA,NA
"123","2pac","Changes","Greatest Hits",2011,5330000,"aww",12,NA,NA,NA,NA,NA
"124","2pac","Changes","Greatest Hits",2011,5330000,"yeah",144,NA,NA,NA,NA,NA
"125","2pac","Changes","Greatest Hits",2011,5330000,"all",602,NA,NA,NA,NA,NA
"126","2pac","Changes","Greatest Hits",2011,5330000,"racist",6,NA,NA,NA,NA,NA
"127","2pac","Changes","Greatest Hits",2011,5330000,"faces",6,NA,NA,NA,NA,NA
"128","2pac","Changes","Greatest Hits",2011,5330000,"misplaced",2,NA,NA,NA,NA,NA
"129","2pac","Changes","Greatest Hits",2011,5330000,"hate",44,NA,NA,NA,NA,NA
"130","2pac","Changes","Greatest Hits",2011,5330000,"makes",11,NA,NA,NA,NA,NA
"131","2pac","Changes","Greatest Hits",2011,5330000,"disgrace",2,NA,NA,NA,NA,NA
"132","2pac","Changes","Greatest Hits",2011,5330000,"races",2,NA,NA,NA,NA,NA
"133","2pac","Changes","Greatest Hits",2011,5330000,"under",31,NA,NA,NA,NA,NA
"134","2pac","Changes","Greatest Hits",2011,5330000,"wonder",54,NA,NA,NA,NA,NA
"135","2pac","Changes","Greatest Hits",2011,5330000,"takes",11,NA,NA,NA,NA,NA
"136","2pac","Changes","Greatest Hits",2011,5330000,"make",199,NA,NA,NA,NA,NA
"137","2pac","Changes","Greatest Hits",2011,5330000,"this",538,NA,NA,NA,NA,NA
"138","2pac","Changes","Greatest Hits",2011,5330000,"better",65,NA,NA,NA,NA,NA
"139","2pac","Changes","Greatest Hits",2011,5330000,"place",43,NA,NA,NA,NA,NA
"140","2pac","Changes","Greatest Hits",2011,5330000,"let's",43,NA,NA,NA,NA,NA
"141","2pac","Changes","Greatest Hits",2011,5330000,"erase",3,NA,NA,NA,NA,NA
"142","2pac","Changes","Greatest Hits",2011,5330000,"wasted",1,NA,NA,NA,NA,NA
"143","2pac","Changes","Greatest Hits",2011,5330000,"evil",16,NA,NA,NA,NA,NA
"144","2pac","Changes","Greatest Hits",2011,5330000,"out",364,NA,NA,NA,NA,NA
"145","2pac","Changes","Greatest Hits",2011,5330000,"people",40,NA,NA,NA,NA,NA
"146","2pac","Changes","Greatest Hits",2011,5330000,"they'll",12,NA,NA,NA,NA,NA
"147","2pac","Changes","Greatest Hits",2011,5330000,"acting",6,NA,NA,NA,NA,NA
"148","2pac","Changes","Greatest Hits",2011,5330000,"right",164,NA,NA,NA,NA,NA
"149","2pac","Changes","Greatest Hits",2011,5330000,"cause",380,NA,NA,NA,NA,NA
"150","2pac","Changes","Greatest Hits",2011,5330000,"mo",18,NA,NA,NA,NA,NA
"151","2pac","Changes","Greatest Hits",2011,5330000,"white",14,NA,NA,NA,NA,NA
"152","2pac","Changes","Greatest Hits",2011,5330000,"smokin",23,NA,NA,NA,NA,NA
"153","2pac","Changes","Greatest Hits",2011,5330000,"tonight",12,NA,NA,NA,NA,NA
"154","2pac","Changes","Greatest Hits",2011,5330000,"only",125,NA,NA,NA,NA,NA
"155","2pac","Changes","Greatest Hits",2011,5330000,"chill",7,NA,NA,NA,NA,NA
"156","2pac","Changes","Greatest Hits",2011,5330000,"skill",2,NA,NA,NA,NA,NA
"157","2pac","Changes","Greatest Hits",2011,5330000,"real",112,NA,NA,NA,NA,NA
"158","2pac","Changes","Greatest Hits",2011,5330000,"heal",7,NA,NA,NA,NA,NA
"159","2pac","Changes","Greatest Hits",2011,5330000,"although",5,NA,NA,NA,NA,NA
"160","2pac","Changes","Greatest Hits",2011,5330000,"seems",21,NA,NA,NA,NA,NA
"161","2pac","Changes","Greatest Hits",2011,5330000,"heaven",68,NA,NA,NA,NA,NA
"162","2pac","Changes","Greatest Hits",2011,5330000,"sent",15,NA,NA,NA,NA,NA
"163","2pac","Changes","Greatest Hits",2011,5330000,"ain't",428,NA,NA,NA,NA,NA
"164","2pac","Changes","Greatest Hits",2011,5330000,"ready",71,NA,NA,NA,NA,NA
"165","2pac","Changes","Greatest Hits",2011,5330000,"president",5,NA,NA,NA,NA,NA
"166","2pac","Changes","Greatest Hits",2011,5330000,"secret",8,NA,NA,NA,NA,NA
"167","2pac","Changes","Greatest Hits",2011,5330000,"don't",518,NA,NA,NA,NA,NA
"168","2pac","Changes","Greatest Hits",2011,5330000,"conceal",2,NA,NA,NA,NA,NA
"169","2pac","Changes","Greatest Hits",2011,5330000,"fact",12,NA,NA,NA,NA,NA
"170","2pac","Changes","Greatest Hits",2011,5330000,"penitentiary's",2,NA,NA,NA,NA,NA
"171","2pac","Changes","Greatest Hits",2011,5330000,"packed",8,NA,NA,NA,NA,NA
"172","2pac","Changes","Greatest Hits",2011,5330000,"filled",3,NA,NA,NA,NA,NA
"173","2pac","Changes","Greatest Hits",2011,5330000,"blacks",11,NA,NA,NA,NA,NA
"174","2pac","Changes","Greatest Hits",2011,5330000,"some",158,NA,NA,NA,NA,NA
"175","2pac","Changes","Greatest Hits",2011,5330000,"change",40,NA,NA,NA,NA,NA
"176","2pac","Changes","Greatest Hits",2011,5330000,"try",69,NA,NA,NA,NA,NA
"177","2pac","Changes","Greatest Hits",2011,5330000,"show",39,NA,NA,NA,NA,NA
"178","2pac","Changes","Greatest Hits",2011,5330000,"another",58,NA,NA,NA,NA,NA
"179","2pac","Changes","Greatest Hits",2011,5330000,"you",1917,NA,NA,NA,NA,NA
"180","2pac","Changes","Greatest Hits",2011,5330000,"stayin",4,NA,NA,NA,NA,NA
"181","2pac","Changes","Greatest Hits",2011,5330000,"game",121,NA,NA,NA,NA,NA
"182","2pac","Changes","Greatest Hits",2011,5330000,"tell",150,NA,NA,NA,NA,NA
"183","2pac","Changes","Greatest Hits",2011,5330000,"what's",52,NA,NA,NA,NA,NA
"184","2pac","Changes","Greatest Hits",2011,5330000,"mother",45,NA,NA,NA,NA,NA
"185","2pac","Changes","Greatest Hits",2011,5330000,"do",305,NA,NA,NA,NA,NA
"186","2pac","Changes","Greatest Hits",2011,5330000,"appeal",2,NA,NA,NA,NA,NA
"187","2pac","Changes","Greatest Hits",2011,5330000,"operate",1,NA,NA,NA,NA,NA
"188","2pac","Changes","Greatest Hits",2011,5330000,"easy",22,NA,NA,NA,NA,NA
"189","2pac","Changes","Greatest Hits",2011,5330000,"made",66,NA,NA,NA,NA,NA
"190","2pac","Changes","Greatest Hits",2011,5330000,"g",95,NA,NA,NA,NA,NA
"191","2pac","Changes","Greatest Hits",2011,5330000,"today",13,NA,NA,NA,NA,NA
"192","2pac","Changes","Greatest Hits",2011,5330000,"sleazy",4,NA,NA,NA,NA,NA
"193","2pac","Changes","Greatest Hits",2011,5330000,"sellin",9,NA,NA,NA,NA,NA
"194","2pac","Changes","Greatest Hits",2011,5330000,"kid",10,NA,NA,NA,NA,NA
"195","2pac","Changes","Greatest Hits",2011,5330000,"get",514,NA,NA,NA,NA,NA
"196","2pac","Changes","Greatest Hits",2011,5330000,"paid",36,NA,NA,NA,NA,NA
"197","2pac","Changes","Greatest Hits",2011,5330000,"well",48,NA,NA,NA,NA,NA
"198","2pac","Changes","Greatest Hits",2011,5330000,"hey",51,NA,NA,NA,NA,NA
"199","2pac","Changes","Greatest Hits",2011,5330000,"us",123,NA,NA,NA,NA,NA
"200","2pac","Changes","Greatest Hits",2011,5330000,"eat",11,NA,NA,NA,NA,NA
"201","2pac","Changes","Greatest Hits",2011,5330000,"live",117,NA,NA,NA,NA,NA
"202","2pac","Changes","Greatest Hits",2011,5330000,"treat",4,NA,NA,NA,NA,NA
